comment_v1,comment_v2,type,sentiment
bong guy piliz bole dao boro vasahabid ta ke,bong guy piliz bole dao boro vasahabid ta ke,0,0
আমাদের বাস্তব চিত্র তুলে ধরার জন্য ধন্যবাদ,বাস্তব চিত্র ধর ধন্যবাদ,0,2
soooo funny ear,soooo funni ear,0,2
saifzohan,saifzohan,1,1
o bongo dada e kamon cinema asbe to,bongo dada e kamon cinema asb,4,1
kisu manus more jay 16 te,kisu manu jay te,0,1
kiran da ami son of a btch type ar chilam character gulo exam ar opor depend korto,kiran da ami son btch type ar chilam charact gulo exam ar opor depend korto,0,0
medical er jonno o ki ei scholarship exam ta deoa jabe,medic er jonno ki ei scholarship exam ta deoa jabe,4,1
ami eto kisu bolbona gan ta just osadharon,ami eto kisu bolbona gan ta osadharon,0,1
মনের অজান্তেই চোখ দিয়ে পানি চলে আসলো,মন অজান্তে চোখ পানি আসলো,0,0
bro you are significant other talented,bro signific talent,2,2
prottoy you are or our grate i love you prottoy,prottoy grate love prottoy,0,2
ami chai game khelte,ami chai game khelt,1,1
নিয়ে ভাইয়ে একটু তাড়াতাড়ি দেন না ভাইজান,ভাইয়ে একটু তাড়াতাড়ি না ভাইজান,4,1
onak onak vlo laghlo,onak onak vlo laghlo,0,1
ami chata son of a btch kotai,ami chata son btch kotai,0,0
ovinata chilam,ovinata chilam,0,1
025 class 11 e physics exam er somoy ami100 class 11 sei sundori meye ta emon bhabe chota bar korte parte ufflojja e kan gorom hoye jeto,class e physic exam er somoy ami class sei sundori mey ta emon bhabe chota bar kort part ufflojja e kan gorom hoy jeto,0,0
কিছু মানুষ মরে যায় পঁচিশে  may allah heal our soul,মরে যায় পঁচিশে may allah heal soul,0,0
khub hassokor  onek bar dekhi dada,khub hassokor onek bar dekhi dada,0,2
এ শহর আমার আর নয়,শহর,0,0
arak type student thaka jdr exam sas hobr ak ghonta aga exam complet hoa jei,arak type student thaka jdr exam sa hobr ak ghonta aga exam complet hoa jei,0,0
anisha ridia sumaiya maimuna rahi israt,anisha ridia sumaiya maimuna rahi israt,1,1
১৮ তে মরে যাওয়া লোক,তে মরে লোক,0,0
this song have many indians place,song mani indian place,1,1
এমন কনো দিন নেই যে গান টা শুনি না প্রতি দিন শিনে এক বার হলেও আগে শুনতাম না যখন পাসে কনো বন্ধু নামক মানুষ গুলো নেই যাই হোক এখন কুবই ভালো আছে গান শুনি সব সময়,কনো গান শুনি না শিনে শুনতাম না পাসে কনো বন্ধু নামক গুলো কুব ভালো গান শুনি সময়,0,2
049 line ta sunlai coka pani cola asa,line ta sunlai coka pani cola asa,2,1
me gusta verte feliz pero mucho mejor feliz conmigo ,gusta vert feliz pero mucho mejor feliz conmigo,0,2
watch 2025 29 august,watch august,1,1
গান গুলো এত আলপ টাইমে শেষ হয়ে যায় কেন যতই শুনি শুনতে ইচ্ছে হয়,গান গুলো আলপ টাইমে যায় যত শুনি শুন ইচ্,0,2
চোখের জল চলে আসছে,চোখ জল আস,0,0
vai probashe boshe mon kharap hoilei tmgo video gula deikkha mon valo hoya jaimone hoy ami akhon narayaongonj asinew video daw vaieigula dekhte dekhte jhalaoala hoya gece,vai probash bosh mon kharap hoilei tmgo video gula deikkha mon valo hoya jaimon hoy ami akhon narayaongonj asinew video daw vaieigula dekht dekht jhalaoala hoya gece,0,2
সত্রিই অনে দারুন হয়েছে,সত্রি অনে দারুন,2,2
121 school palano,school palano,1,1
ha ha ha ha nice,ha ha ha ha nice,0,2
প্রতিদিন দেশের বাহিরে বাস্তবতা দেখি আর এই গান টা শুনি লাঞ্চ ব্রেকে এখনো শুনতেচি প্রতিটা লাইন পুরনো অতীত মনে করিয়ে দেয় দিন শেষে এটাই বলতে ইচ্ছে করে quotআহারে শৈশবquot,প্রতিদিন দেশের বাস্তবতা দেখি গান শুনি লাঞ্চ ব্রে শুনতেচি প্রতি পুরনো অতীত শাষ ইচ্ quotআহারে শৈশবquot,2,2
sara dada,sara dada,1,1
poem ta ki tumi likhechokiran da,poem ta ki tumi likhechokiran da,1,1
আমি ফেসবুকে আছি  ইনস্টাগ্রামেও আছি ,ফেসবু আছি ইনস্টাগ্রামেও আছি,1,1
anyone202520262027,anyon,1,1
anyone 2025,anyon,4,1
bow palao ashar mashe lyrics ta joss hoiche,bow palao ashar mash lyric ta joss hoich,0,2
mike is always king,mike alway king,2,2
beyoncé in the background vocals,beyoncé background vocal,1,1
up for the game,game,1,1
prottoy are or our chehara pader moton ki korbo kou toh,prottoy chehara pader moton ki korbo kou toh,4,1
mane video ta banaor shomay nijer hashi ta ki kore control koren,mane video ta banaor shomay nijer hashi ta ki kore control koren,4,1
who is listening on diwali,listen diwali,4,1
hahaha significant other fane,hahaha signific fane,0,2
anyone in october 2025,anyon octob,4,1
watching this again in 2022,watch,1,1
video ta continue kora gelo na ato pagor ak sathe,video ta continu kora gelo na ato pagor ak sath,0,0
ami sub video dakhase,ami sub video dakhas,1,1
jodi class 1 a a word to describe something positive jete partam,jodi class word describ someth posit jete partam,2,2
deko amake khela khelbo,deko amak khela khelbo,1,1
কমেন্ট রেখে গেলাম এখন ১৯ বছর চলে ২৫ বছর হলে যদি কেউ লাইক করে আবার শুনতে আসব আর অনুভব করব,কমেন্ট গেল লাইক শুন আসব অনুভব কর,0,1
arthik sazib vaiya apner kotha bolar style khub vlo lage amer,arthik sazib vaiya apner kotha bolar style khub vlo lage amer,2,2
আসসালামুয়ালাইকুম ভাইয়া মালেয়শিয়া থেকে বলছিলাম আপনার গানটা আমি আমার এক বন্ধুর ফোনে প্রথম শুনেছিলাম তারপর ইউটিউবে সার্চ দিয়ে আপনার গান টা পেলাম কিন্তু বিশ্বাস করেন গান টা যেদিন থেকে সার্চ করেছি তারপর থেকে প্রতিদিন কম করে হলেও 20 বারের চেয়ে বেশি আমি এই গানটা শুনি,আসসালামুয়ালাইকুম ভাইয়া মালেয়শিয়া বলছি গান বন্ধুর ফোনে শুনেছি ইউটিউবে সার্চ গান পেল বিশ্বাস গান যেদিন সার্চ করে প্রতিদিন বার গান শুনি,2,2
sotti ei rokom hoy,sotti ei rokom hoy,0,0
গানটার সাথে জীবন টা মিলে গেল হয়ত ২ দিনের মধ্যে নিজরে শহর ছেড়ে চলে যেতে হবে আর কোনো দিন নিজের শহরে আর ফেরা হবে না আল্লাহ পাক জানে বাকিটা,গান সাথে জীবন মিলে হয়ত দিন নিজরে শহর ছাড় শহরে ফের না আল্লাহ পাক বাকি,0,0
salam from uk  ramadan mubarek 2021follow me on tiktok britishtiktok4u,salam uk ramadan mubarek follow tiktok britishtiktoku,3,1
ছায়া হয়ে মিশে থাকবোধরা দিবো নানিয়ম করে ভালবাসবোতবুও বুজতে দিব না,ছায়া মিশে থাকবোধ দিবো নানিয়ম ভালবাসবোতবু বুজ দিব না,0,0
dada tomar son of a btch video amar valo lage amader barir soby tomar video dekhe,dada tomar son btch video amar valo lage amad barir sobi tomar video dekh,0,0
moja pilam,moja pilam,1,1
সত্যি ভাই গানটা অনেক অসাধারণ ধন্যবাদ ভাই এতো সুন্দর একটা গান নিয়ে আশার জন্য,সত্যি ভাই গান অসাধারণ ধন্যবাদ ভাই এত সুন্দর এক গান আশ,2,2
baler,baler,1,1
atai reality,atai realiti,0,0
quotটানটান করুনquot hebby hebby the bong guy is the best,quotটানটান করুনquot hebbi hebbi bong guy best,2,2
best of luck,best luck,0,2
ekdom,ekdom,0,1
asbo asbo tumi bolo sudu,asbo asbo tumi bolo sudu,0,1
ami to 17 te shes,ami te she,1,1
sayan ko kyu toda,sayan ko kyu toda,0,0
আই মিস ইউ,আই মিস ইউ,0,0
রোজা নিয়া ও তোমাদের ভিডিও করতে হবে ধর্মীয় ব্যাপার গুলা নিয়ে বাড়াবাড়ি ফল ভালো হয় না,রোজা নিয়া তোমা ভিডি ধর্মীয় ব্য গুলা বাড়াবাড়ি ফল ভালো না,0,0
চেনা শহরে বন্ধুগুলো এক সময় অচেনা হয়ে যায়,চেনা শহরে বন্ধু সময় অচেনা যায়,0,0
wow funny really onk vlo lakca love you heron,wow funni realli onk vlo lakca love heron,0,2
2016 to royal,royal,1,1
dada akta notun video dekhlam tomr havy lagve aktu rost korbe ,dada akta notun video dekhlam tomr havi lagv aktu rost korb,4,1
4 june 2025,june,1,1
মূনময় দা is best,মূনময় দা best,2,2
আমি তোমার ভিডিও দেখি,ভিডি দেখি,1,1
অনেক সুন্দর হইছে,সুন্দর হই,2,2
kar sathe bong guy er controversy hoyeche,kar sath bong guy er controversi hoyech,4,1
quotআমার বউ পালালো quot i39m that type,quotআম বউ পালালো quot im type,0,0
২০২৩ সালে আইসা কে কে দেখছেন এই ভিডিও টা অনেক মিস করি প্রত্যয় ভাইয়াদের আগের ভিডিও গুলা,সালে আইসা দেখছ ভিডি মিস প্রত্যয় ভাইয়া আগ ভিডি গুলা,0,0
samacholona,samacholona,1,1
আমি যখন গানটা শুনছিলাম তখন এটা 800 কে ভিউ ছিল আর এখন এটা ভাইরাল,গান শুনছি ভিউ ভাইরাল,1,2
amio asbo khelte,amio asbo khelt,1,1
emni te subs kora chilo nah 130 por giye subs kore unsubs kore eschi,emni te sub kora chilo nah por giy sub kore unsub kore eschi,2,0
আপনাকে অনেক ধন্যবাদ ভাইয়া আমাদের মতো জীবন্ত লাশের জন্য এই গানটি লিখার জন্য,আপনা ধন্যবাদ ভাইয়া জীবন্ত লাশ গান লিখ,0,2
আবার যদি ফিরে যেতে পারতাম শৈশবের সেই দিন গুলিতে,পারতাম শৈশব গুলি,0,0
অক্,অক্,1,1
life is significant other cruel,life signific cruel,0,0
me mirjafar,mirjafar,1,1
কতো সপ্ন শুধু সপ্নই রয়ে গেলো,কত সপ্ন সপ্ন রয় গেলো,0,0
anyone in september 2025,anyon septemb,4,1
সেই গান,গান,1,1
99 student here,student,1,1
brazil yes 11 09 2025,brazil ye,1,1
অনেক করে মনে পরে স্মৃতি ঘেরা সেই দিনগুলোর কথা,স্মৃতি ঘের দিন কথা,0,2
আহারে শৈশব 21052025স্মৃতি রেখে গেলাম,আহারে শৈশব স্মৃতি গেল,0,1
hi ami bulti saha,hi ami bulti saha,1,1
আজাইররা লিমিটেডের দেখা প্রথম এপিসোড ছিলো এটা,আজাইররা লিমিটেডের এপিসোড ছিলো,1,1
দাদা আমার exam are or our দিনগুলোর কথা একদম মিলে যাচ্ছেফাটাফাটি হয়েছে,দাদা exam দিন কথা একদম মিলে যাচ্ছেফাটাফা,0,2
ami dharmik chilam,ami dharmik chilam,0,1
aage jemon start korechile temon ar hocche na oscar type movie gulo bhalo chilo egulo bhalo lagche na,aag jemon start korechil temon ar hocch na oscar type movi gulo bhalo chilo egulo bhalo lagch na,2,0
no bad comments in song,bad comment song,2,2
সময় সাথে গানটা মিলে গেল …,সময় সাথে গান মিলে …,0,2
ami aste chai tomar game e  big fan dada,ami ast chai tomar game e big fan dada,0,2
oscar,oscar,0,1
video ta valo legeche but sabbir thakle aro valo lagto,video ta valo legech sabbir thakl aro valo lagto,2,2
2025still got goosebumps,still got goosebump,0,2
যারা যারা ২০২০ তে ভিডিওটি দেখেছেন তারা লাইক দিন,তে ভিডিও দেখেছেন লাইক,3,1
pachil best,pachil best,2,2
amar to gaan mone pore jai,amar gaan mone pore jai,0,2
saif zohan vair new song uplond hoyar sathe sathe sunar je ki ekta abag mise ase buji nh eto kn vlo lage tar gaan gula,saif zohan vair new song uplond hoyar sath sath sunar je ki ekta abag mise ase buji nh eto kn vlo lage tar gaan gula,2,1
exam keno hoy,exam keno hoy,4,1
ami chothabaj a expert,ami chothabaj expert,0,0
heron ai nice,heron ai nice,2,2
is anyone here on 2050,anyon,4,1
jottil video significant other nice,jottil video signific nice,2,2
don39t grow it39s a trap,dont grow it trap,2,0
ahare,ahar,0,1
jose mamu,jose mamu,1,1
who is listen in september 2025,listen septemb,4,1
দাদা তুমি আগের মত প্রতিনিয়ত ভিডিও ছাড়বে কবে থেকে,দাদা আগ প্রতিনিয়ত ভিডি ছাড়বে,4,1
মনের অজান্তে চোখে পানি চলে আসলো,মন অজান্ চোখে পানি আসলো,0,0
hmm chai,hmm chai,0,1
kichu manush hoyto pochishe more jaay abar kichu manush pochishe punorjonmo paay,kichu manush hoyto pochish jaay abar kichu manush pochish punorjonmo paay,0,0
আমিতো জন্মের পরথেকেই ভাগ্যবানকারণ আমি শেষ নবীর3939উম্মতআলহামদুলিল্লাহ,আমি জন্ম পরথেক ভাগ্যবানকারণ নবীরউম্মতআলহামদুলিল্লাহ,0,2
গানটা কেউ শুনতে আসলে আমাকে একটা লাইক দিয়ে জায়েনতাহলে আবার আমার মনে পরবে তখন গানটা আবারো শোনা হবে,গান শুন আসলে এক লাইক জায়েনতাহলে পরবে গান আবারো শোনা,3,1
prank king da supper star vai tomar number ta dao,prank king da supper star vai tomar number ta dao,1,1
vai vai vai vai vai vai vai vai vai vai vai vai,vai vai vai vai vai vai vai vai vai vai vai vai,0,1
in 56  oii aritra dekha na re 1 takar puja debo,oii aritra dekha na takar puja debo,0,1
বাংলাদেশ থেকে বলছি দাদানিয়মিত আয়োজন চাই,বাংলাদেশ বল দাদানিয়মিত আয়োজন চাই,2,2
deep meaningeach line reflects reality lyric,deep meaningeach line reflect realiti lyric,2,2
ooosam,ooosam,0,1
shri shri ram krishna param dhongsho,shri shri ram krishna param dhongsho,0,2
very good bro,good bro,2,2
khala hoba mention koro khalbooo,khala hoba mention koro khalbooo,0,2
prottoy you are or our great,prottoy great,2,2
2025 anyone ,anyon,4,1
lindíssima música é shou,lindíssima música é shou,2,2
2015 তে জীবনের যত ইচ্ছা আকাঙ্ক্ষা ছিলো সব মরে গেছিলো এর পর পচে যাওয়ার অপেক্ষায় ছিলাম অতপর ২০২১ এ না পচে দূর্গন্ধ ছড়িয়ে গেছে,তে জীবন আকাঙ্ক্ষা ছিলো মরে গেছিলো পচে অপেক্ষায় ছিল অতপর না পচে দূর্গন্ধ ছড়িয়ে,0,0
dada bhalo acho 629,dada bhalo acho,1,1
ki paglachoda manusjon kmon video banache,ki paglachoda manusjon kmon video banach,4,1
chotto chele choto pel,chotto chele choto pel,0,0
vlog gola just wow,vlog gola wow,0,2
এটা এমন একটা বয়স যখন থেকে মৃত্যুর চিন্তা হয় বেশি,এক বয়স মৃত্যুর চিন্তা,0,0
bjp,bjp,1,1
২০০১ থেকে ২০১৪ এর সময়ে জীবনের সেরা সময় এমন সময় আর আসেনিভবিষ্যতে আসবে কিনা সন্দেহ আছে জেনুইন কাছের মানুষ বন্ধুত্বপ্রিয় জায়গাসোনালী সময়সুখআনন্দ সব হারিয়ে যৌবনে পদার্পণ করেছি ঠিকই কিন্তু নিজেকেই কোথায় যেন ফেলে এসেছিআর পাই নিকখনোই পেলাম না ফিরে,সময়ে জীবন আসেনিভবিষ্য আসবে সন্দেহ জেনুইন কাছ বন্ধুত্বপ্রিয় জায়গাসোনালী সময়সুখআনন্দ হারিয়ে যৌবনে পদার্পণ করে ঠিক নিজেক ফাল এসেছিআর পাই নিকখনো পেল না,0,0
045 আর আমরা quotমাথামোটাquot,quotমাথামোটাquot,0,1
বাবা কত জন্তু একসাথে,বাবা জন্তু একসাথে,4,1
bochorer seshe khub dorkar chilo ei video tar,bochor sesh khub dorkar chilo ei video tar,2,2
dada ami thakte chai tmr games a cmmnt korte bole6o kintu,dada ami thakt chai tmr game cmmnt kort boleo kintu,1,1
ending ta xoss,end ta xoss,0,0
i lovecoldplay,lovecoldplay,2,2
prottoi amer bal tui ekta gainja khor,prottoi amer bal tui ekta gainja khor,2,0
কি লিখতাম,লিখতাম,4,1
o joss bro significant other nice nice nice,joss bro signific nice nice nice,0,2
kayy digan it is better to be young and vibrant as you are now in heaven we are as ee are when we pass lets change the future together computer watson was no help,kayi digan better young vibrant heaven ee pass let chang futur togeth comput watson help,0,2
৫৫৫ বউয়ের ভয়,বউয় ভয়,0,0
very very sweet song,sweet song,2,2
gaan korar jinista amr satheo hoi,gaan korar jinista amr satheo hoi,2,1
জেরক্স করা সিন টা অসাধারন,জেরক্স সিন অসাধারন,2,2
ami 4 year por aro dekhte elam,ami year por aro dekht elam,0,2
ช่วงนี้ออ๊ฟทำงานก่อสร้างที่ข้างบ่อนไก่ชนอยู่ครับไปทำงานได้สองวันแล้วครับผม,ช่วงนี้ออ๊ฟทำงานก่อสร้างที่ข้างบ่อนไก่ชนอยู่ครับไปทำงานได้สองวันแล้วครับผม,1,1
455 the most funniestgaana dot com,funniestgaana dot com,2,2
সেরার সেরা,সেরার,2,2
ভাই আপনাদের প্রথম বিডিও টির নাম কি,ভাই আপনা বিডি টির,4,1
ami holam gana  com,ami holam gana com,1,1
khub mojar video chilo onek enjoy korlam,khub mojar video chilo onek enjoy korlam,2,2
song ta seii chilo,song ta seii chilo,1,1
my son sang this song on his first holy communion and everybody loved it he loves this song,son sang song first holi communion everybodi love love song,2,2
this song is sooooo niceeeee shoishoob,song sooooo niceeee shoishoob,2,2
coldplay made the song awesome beyonce made itbeautiful,coldplay made song awesom beyonc made itbeauti,2,2
i love every culture from globel,love everi cultur globel,2,2
গ্রাফিক্সের কার্টন কাজ গুলো অসাধারণ,গ্রাফিক্স কার্টন গুলো অসাধারণ,2,2
oh awesoom,oh awesoom,0,2
i love bey,love bey,2,2
joy maa durga,joy maa durga,0,1
best part 916 laughing out loud,best part laugh loud,2,2
heavy natok korecho bhai,heavi natok korecho bhai,0,2
ami too son of a btch ki6u are or our mix,ami son btch kiu mix,0,0
কিশোরী গানটাকে চলো 50 মিলিয়ন করে আসি,কিশোরী গান চলো মিলিয়ন আসি,2,2
onuvutitai asol,onuvutitai asol,1,1
i have to rush 4 mah medical college everydayclasses are or our very earlyso male always in a hurrybt taratari jawar jonno cng te jete chailetader bivinno drama dekhte hoydis video actually reflects dere attitude,rush mah medic colleg everydayclass earlyso male alway hurrybt taratari jawar jonno cng te jete chailetad bivinno drama dekht hoydi video actual reflect dere attitud,2,0
কিছু মানুষ মরে যায় পঁচিশের আগেই,মরে পঁচিশ,0,0
kiran da ami o same tomar motodiff class a different chilam,kiran da ami tomar motodiff class differ chilam,0,2
who listens 2025 july,listen juli,4,1
darun mind blowing,darun mind blow,2,2
আমার জীবনটা ঠিক গানের কথার সাথে ১০০ মিলে গেছে মধো বিত্তো ফেমেলির বড় ছেলেরাই বুযে এর কষ্ঠ,জীবন গান কথ সাথে মিলে মধো বিত্ ফেমেলির বড় ছেলেরা বুযে কষ্ঠ,0,2
এক কথায় অসাধারন সুর এবং হৃদয় ছুয়ে যাওয়ার মতো গান খুব ভালো গেয়েছেন ভাই  আরো বেশি বেশি গান চাই আপনার কন্ঠে ,কথায় অসাধারন সুর হৃদয় ছুয়ে গান ভালো গেয়েছেন ভাই আরো গান চাই কন্ঠে,0,2
ami asbo,ami asbo,1,1
epic epic,epic epic,0,2
darun hoiche dadaaa,darun hoich dadaaa,0,2
banjolafacts bengalis fact channel,banjolafact bengali fact channel,1,1
448 amonta amar sathe o hoy,amonta amar sath hoy,0,1
sei hoisey,sei hoisey,0,1
phaltu,phaltu,0,0
dada amar emni konodin hoi ni bkintu bondhu ra disturb korle sir maam ke bole ditam,dada amar emni konodin hoi ni bkintu bondhu ra disturb korl sir maam ke bole ditam,0,0
আমি আস্তে চাই,আস্ চাই,0,1
the best bong you tuber,best bong tuber,2,2
khub sundor hoyeche,khub sundor hoyech,0,2
i39ll always remember this song as the greatest hits,ill alway rememb song greatest hit,2,2
2025 a ke ke dekhcho,ke ke dekhcho,4,1
059 second that part literally gave me goosebumps,second part liter gave goosebump,0,2
ha ha ha  joss,ha ha ha joss,0,2
2025 everyone39s here ,everyon,4,1
jake biology exam,jake biolog exam,1,1
যাই হোক হাল ছারা জাবে না,হাল ছার জাবে না,2,0
prank king এর এই ভিডিওটি ভালো লাগেনি,prank king ভিডিও ভালো লাগেনি,2,0
year 3333 anyone love his cool voice sumtin about it bless me with likes divine peoples luv you all,year anyon love cool voic sumtin bless like divin peopl luv,2,2
amio prothom ai chanell e ase chilamtar por oi chanell e giachilam,amio prothom ai chanel e ase chilamtar por oi chanel e giachilam,0,2
এমন গানগুলো আসলে হেরে যাওয়ার স্মৃতি নয় জেতার অনুপ্রেরণা হয়ে থাকে একদিন আবার হারলে এই সুরই বাঁচিয়ে রাখবেquot,গান আসলে হার স্মৃতি জেত অনুপ্রেরণা একদিন হারলে সুর বাঁচা রাখবেquot,2,2
hvy haslm,hvi haslm,0,0
wowsay hoy se broo,wowsay hoy se broo,0,2
ভাই হেরে যাওয়া মানুষ দের নিয়ে কিছু লেখা যায় না,ভাই হার দের লেখা না,0,0
osthir ekta exam hool,osthir ekta exam hool,0,0
just awesome 1ta vedio,awesom ta vedio,2,2
bohut khub,bohut khub,2,2
আমি যে টাইপেরদেখা না বেশী জ্ঞানী মাঝে মাঝে অভিনেতা কখনও কখনও সমাজবিরোধীআমার বেশিরভাগ বন্ধু মীরজাফরযখন বন্ধুরা আমার টা জেরক্স করেকি লিখেছে রে কি খারাপ handwriting,টাইপেরদেখা না জ্ঞানী মাঝে মাঝে অভিনেতা সমাজবিরোধীআম বেশিরভাগ বন্ধু মীরজাফরযখন বন্ধু জেরক্স করেকি লিখ রে খারাপ handwrit,0,0
dada lipstick ta ki didivai poriea dieache,dada lipstick ta ki didivai poriea dieach,1,1
corontime lt3,corontim lt,0,2
un peux dépriment c’est le but de la musique,un peux dépriment c’est le de la musiqu,0,0
please prottoy heron vaiyaar numberta den please,pleas prottoy heron vaiyaar numberta den pleas,1,1
alguien 2025 ,alguien,4,1
আমি কামরুল ভাইয়াবাড়ি কুমিল্লাগানগুলো আমার সাথে মিলে যায়বুকে কেমন যেনো ভারি চাপ অনুভূত হয়,কামরুল ভাইয়াবাড়ি কুমিল্লাগান সাথে মিলে যায়বু কেমন যেনো ভারি চাপ,0,2
ভাই আপনাদের সব গুলা video অস্থির,ভাই আপনা গুলা video অস্থির,0,2
কোথায় আহারে আহারে শৈশব,কোথায় আহারে আহারে শৈশব,1,1
সবথেকে ওই কথাটা ভালো লাগছে পিছন থেকে মূর্তি বের হবে সিমেন্ট খেলেএতদিন পর বুঝলাম মূর্তির আসল রহস্য,সবথে কথা ভালো লাগ পিছন মূর্তি সিমেন্ট খেলেএতদিন বুঝ মূর্তির আসল রহস্য,2,2
ami gadha achhi,ami gadha achhi,0,0
সবচেয়ে পুরানো বাড়ি কোনটি,পুরানো কোন,4,1
dada sei sei sei,dada sei sei sei,0,1
গানটা আমার মনে হয় আমার জীবন থেকে নেয়া,গান জীবন নেয়া,2,2
on june 6th2025,june th,1,1
love you kiran da ,love kiran da,0,2
vaiya amar shathe o ai jinish ta hoyeche  exam chilo chemistry are or our pore ashchi physics,vaiya amar shath ai jinish ta hoyech exam chilo chemistri pore ashchi physic,1,1
akhono salar bitor gabla ase,akhono salar bitor gabla ase,0,0
erokom game khelale nischoi asbo khub bhao laglo video ta,erokom game khelal nischoi asbo khub bhao laglo video ta,2,2
গানটা শুনে আমার ছোটো বেলা কথা মনে পড়ে কার কার মনে পড়ে,গান শুনে ছোটো বেলা কথা পড়ে কার কার পড়ে,0,2
this song instantaneously puts me on cloud 9,song instantan put cloud,0,2
kothai shei shoishob,kothai shei shoishob,0,1
did someone forget to flush  oh its cold play singing,someon forget flush oh cold play sing,0,1
meye der jibon ta sei 18 tei thomke jai more jai sudhu thake deho ta 18 er por meye der songshar jibon e pa dawa manei more jawa,mey der jibon ta sei tei thomk jai jai sudhu thake deho ta er por mey der songshar jibon e pa dawa manei jawa,2,0
happy new year 2025 dada  notun bochorer jonno tomaka and sobai ke onek suvechha and valobasa  tomar and sobar notun bochor onek valo katuk,happi new year dada notun bochor jonno tomaka sobai ke onek suvechha valobasa tomar sobar notun bochor onek valo katuk,0,2
anyone july 2025 145 best part,anyon juli best part,4,1
2012 te joint e 100 rank er context ki,te joint e rank er context ki,4,1
আমি না আমার দুঃখ গুলো কাউকে বলতে পারি না মনে হয় আর কোন দিন বলতে পারবো না আর এভাবে হটাৎ এক দিন চলে যাব,না দুঃখ গুলো না পারবো না এভাবে হটাৎ যাব,0,0
বেকার জিবন ই যানে,বেক জিবন যানে,0,0
my favorite songs,favorit song,2,2
কিছু মানুষ মরে যায় পঁচিশে গানটি কে কে একবার হলেও শুনেছেন,মরে পঁচিশে গান শুনেছেন,1,1
sining lady looks like beyonce,sine ladi look like beyonc,2,2
100 times better than sapphire,time better sapphir,2,2
who is in june 2025,june,4,1
vai ai gan sunle kanna ashe,vai ai gan sunl kanna ash,0,0
আমায় লিখে ফেললেন,আমায় লিখে ফেল,0,1
সত্যিকার অর্থে আমি মরে গেছি২৮ এজানা নেই কেন জীবন টা এলোমেলো হয়ে গেলো কখোনোই ভাবতে পারিনি এমন হবেযা মনে হয় মৃত্যুর চেয়েও বিষাদ,সত্যিক অর্থে মরে গেছি এজানা জীবন এলোমেলো গেলো কখোনো ভাব হবেযা মৃত্যুর চায় বিষাদ,0,0
i love this song as always damnnn,love song alway damnnn,2,2
এতো ঠাকুরের নাম আমিও করি,এত ঠাকুর আমি,0,1
127 darunnnnn,darunnnnn,0,2
ranamastistore,ranamastistor,3,1
অামি হাসতে হাসতে শেষ,অামি হাস হাস,0,2
হাহাহাতুি পারিস রে ভাই,হাহাহাতুি পার রে ভাই,0,2
2nd to me dek6eke are or our korbo video to as6a na,nd dekek korbo video asa na,0,1
pregnant chala chotto chala,pregnant chala chotto chala,0,1
seihoisekinntu sabbir viya thakle aro besy valo hoto but valo hoise,seihoisekinntu sabbir viya thakl aro besi valo hoto valo hois,0,2
কিরন দা op bolte,কিরন দা op bolt,0,1
কলিজা দিয়ে সুনলাম জিবনের সাথে মিলে গেলো,কলিজা সুন জিবন সাথে মিলে গেলো,0,0
bai mike deha jay,bai mike deha jay,0,1
কোথায় আমাদের কৈশোর,কৈশোর,0,0
2012 কথা মনে পড়ে গেলো,কথা পড়ে গেলো,0,1
son of a btch typedifferent classs fact,son btch typediffer classs fact,0,0
who is listening in september thus is a masterpiece,listen septemb thu masterpiec,2,2
prottoy er expression osthiriprottoy,prottoy er express osthiriprottoy,0,1
হিন্দি গানের সুর ছাড়া আমাদের দেশের কোন ভাল গানের সুর নাইহাবিববালাম ন্যন্সিআরোও অনেক ভাল ভাল শিল্পী আছে যাদের গান অনেক ভালবাকি সব গুলো ঠিক আছে,হিন্দি গান সুর দেশের গান সুর নাইহাবিববা ন্যন্সিআরো শিল্পী গান ভালবাকি গুলো,2,1
অসাধারণ,অসাধারণ,0,2
ami aste chai oi game ta te,ami ast chai oi game ta te,0,1
স্রতি হিসেবে রেখে গেলাম,স্রতি হিসেব গেল,2,1
hlw,hlw,1,1
anyone in 2021,anyon,4,1
এই মুহুর্তে আমার বয়স ২৫ চলে জীবন যাচ্ছেতাই ভাবে চলছে ১ বছর যাবত শুয়েবসে দিন কেটে গেলো বাসায় কনভিন্স করতেই পারছি না আমি আর থাকব না ভাগ্য পরিবর্তনের খোরাক সবসময় আমাকে তাড়া করে এ মুহূর্তে নিজের পরিবারই কাল হয়ে দাঁড়িয়েছে,মুহুর্ বয়স জীবন যাচ্ছেতা চল যাবত শুয়েবসে কাট গেলো বাসায় কনভিন্স করতে পারছি না থাকব না ভাগ্য পরিবর্তন খোরাক সবসময় তাড়া মুহূর্ পরিব কাল দাঁড়,0,0
ami more geci sei 2020 te akhn aci sdu amr deho khana onk kosto jontrona sojjo korehasi muke thakar ovonoy kore kintu vitor more gece onk agei,ami geci sei te akhn aci sdu amr deho khana onk kosto jontrona sojjo korehasi muke thakar ovonoy kore kintu vitor gece onk agei,0,0
আহারে শৈশব আর আসবে না ১৮০৪২০২৫,আহারে শৈশব আসবে না,1,1
